Square,NumChecklists,NumBirdChecklists,NumBirds
3334;-11687,16.0,14.0,75.0
3471;-12010,1.0,0.0,0
3919;-12375,37.0,31.0,95.0
3449;-11811,1.0,0.0,0
3552;-12069,48.0,0.0,0
3966;-12023,2.0,0.0,0
3732;-12189,11.0,0.0,0
4199;-12164,2.0,0.0,0
3364;-11756,5.0,0.0,0
3856;-12169,20.0,0.0,0
3325;-11742,2.0,0.0,0
3999;-12106,1.0,1.0,5.0
3840;-12262,2.0,0.0,0
3562;-11628,37.0,0.0,0
3891;-12306,1.0,1.0,1.0
3486;-11949,1.0,0.0,0
3744;-12208,1.0,0.0,0
3742;-12210,1.0,0.0,0
3836;-12265,15.0,1.0,1.0
3915;-12113,3.0,0.0,0
3839;-12122,99.0,0.0,0
3437;-11852,2.0,0.0,0
3869;-12211,13.0,0.0,0
3956;-12033,2.0,0.0,0
3811;-12050,1.0,1.0,0.0
3281;-11718,1.0,0.0,0
3363;-11783,4.0,0.0,0
3684;-11990,1.0,0.0,0
3802;-12215,5.0,1.0,2.0
3415;-11726,2.0,0.0,0
3780;-12227,6.0,0.0,0
3696;-12200,19.0,0.0,0
3330;-11686,1.0,1.0,1.0
3741;-12210,1.0,0.0,0
3428;-11733,6.0,1.0,3.0
3927;-12308,10.0,1.0,1.0
3784;-12192,1.0,1.0,2.0
4034;-12402,2.0,0.0,0
3779;-12245,415.0,71.0,105.0
3750;-12245,8.0,6.0,16.0
3778;-12080,14.0,0.0,0
3896;-12010,1.0,1.0,6.0
3741;-11991,4.0,0.0,0
3715;-12235,1.0,0.0,0
3877;-12103,2.0,0.0,0
3984;-12004,2.0,0.0,0
3392;-11724,2.0,0.0,0
3526;-11994,1.0,0.0,0
4061;-12395,2.0,2.0,4.0
3395;-11763,1.0,0.0,0
4155;-12396,11.0,10.0,34.0
3937;-12017,149.0,103.0,268.0
4040;-12136,5.0,3.0,9.0
3548;-11529,2.0,0.0,0
3943;-12100,1.0,1.0,3.0
4069;-12423,1.0,0.0,0
3720;-12211,1.0,1.0,3.0
3872;-11978,12.0,8.0,27.0
3367;-11596,24.0,0.0,0
3749;-12215,4.0,0.0,0
3355;-11767,30.0,0.0,0
3502;-11863,2.0,2.0,2.0
3980;-12034,1.0,0.0,0
3324;-11728,1.0,0.0,0
3877;-12129,1.0,0.0,0
4010;-12150,4.0,0.0,0
3837;-12128,2.0,0.0,0
3781;-12247,25.0,0.0,0
3882;-12218,21.0,0.0,0
3659;-12192,15.0,4.0,6.0
3793;-12264,5.0,3.0,4.0
4154;-12407,9.0,4.0,4.0
3648;-12118,21.0,12.0,29.0
4012;-12066,2.0,1.0,2.0
3628;-11958,2.0,0.0,0
3789;-12226,5.0,3.0,11.0
3999;-12104,3.0,1.0,1.0
3987;-12018,2.0,0.0,0
4009;-12065,1.0,1.0,1.0
3414;-11837,5.0,0.0,0
3895;-12374,19.0,0.0,0
3699;-12193,1.0,1.0,3.0
3375;-11829,10.0,0.0,0
3732;-12177,1.0,0.0,0
3499;-11980,16.0,0.0,0
3654;-12190,1.0,0.0,0
3847;-12304,2.0,2.0,4.0
3512;-11798,2.0,0.0,0
3407;-11825,1.0,0.0,0
3514;-11977,2.0,0.0,0
4073;-12421,5.0,0.0,0
3716;-12232,3.0,0.0,0
3260;-11693,10.0,0.0,0
3344;-11585,1.0,0.0,0
3874;-12104,3.0,0.0,0
3741;-12206,3.0,0.0,0
3295;-11658,109.0,64.0,222.0
3693;-11831,8.0,0.0,0
3656;-12192,4.0,1.0,1.0
3869;-12020,10.0,8.0,17.0
3555;-12108,5.0,1.0,1.0
3873;-11978,1.0,0.0,0
3675;-12150,58.0,28.0,77.0
4078;-12409,21.0,12.0,18.0
3974;-12030,4.0,0.0,0
3425;-11686,1.0,1.0,3.0
3796;-12182,1.0,0.0,0
4126;-12181,2.0,0.0,0
3862;-12073,10.0,0.0,0
3892;-12108,1.0,0.0,0
3418;-11910,1.0,0.0,0
3658;-11875,1.0,1.0,8.0
3300;-11727,109.0,0.0,0
3783;-12248,2.0,0.0,0
3733;-11834,6.0,0.0,0
3513;-11948,1.0,0.0,0
3988;-12116,8.0,2.0,2.0
3980;-12189,1.0,0.0,0
3957;-12377,4.0,0.0,0
3498;-11978,2.0,0.0,0
3717;-12076,8.0,0.0,0
3867;-12179,1.0,0.0,0
3786;-11965,8.0,5.0,23.0
3982;-12267,2.0,2.0,4.0
3721;-11919,1.0,1.0,1.0
3415;-11829,101.0,0.0,0
3411;-11806,1.0,0.0,0
3294;-11660,8.0,3.0,8.0
4105;-12415,14.0,2.0,2.0
3269;-11626,1.0,0.0,0
3578;-11599,9.0,0.0,0
3857;-12147,10.0,0.0,0
3865;-12120,1.0,0.0,0
3746;-12219,22.0,0.0,0
4125;-12207,4.0,2.0,4.0
3734;-11840,2.0,0.0,0
3281;-11705,53.0,0.0,0
3882;-11978,1.0,0.0,0
3786;-12227,2.0,0.0,0
3837;-12244,1.0,0.0,0
3646;-11912,2.0,0.0,0
3399;-11737,42.0,0.0,0
3314;-11634,1.0,0.0,0
3354;-11780,22.0,0.0,0
3569;-11821,11.0,0.0,0
3355;-11768,1.0,0.0,0
3792;-12259,3.0,0.0,0
4098;-12271,2.0,2.0,4.0
3875;-12104,57.0,6.0,6.0
3769;-12176,1.0,0.0,0
3456;-12008,10.0,1.0,2.0
3466;-11841,1.0,0.0,0
3923;-12001,1.0,0.0,0
4161;-12283,2.0,0.0,0
3843;-12274,1.0,0.0,0
3644;-12165,1.0,1.0,1.0
4003;-12377,2.0,0.0,0
3914;-12318,93.0,7.0,8.0
3426;-11690,54.0,41.0,92.0
3764;-12101,1.0,0.0,0
3698;-12207,2.0,0.0,0
3342;-11489,2.0,0.0,0
3295;-11700,21.0,0.0,0
4009;-12156,1.0,1.0,0.0
4057;-12404,1.0,1.0,1.0
3551;-12070,1.0,0.0,0
3656;-12187,11.0,9.0,27.0
3971;-12195,2.0,0.0,0
3681;-11987,9.0,0.0,0
3423;-11862,4.0,0.0,0
3700;-12194,3.0,3.0,16.0
3502;-11734,1.0,0.0,0
3276;-11708,1.0,0.0,0
3824;-12150,5.0,0.0,0
3627;-12139,5.0,0.0,0
3434;-11929,1.0,0.0,0
4122;-12409,1.0,1.0,2.0
3736;-12176,1.0,0.0,0
4104;-12139,1.0,0.0,0
3758;-12204,5.0,0.0,0
3870;-12201,1.0,0.0,0
4002;-12122,1.0,0.0,0
3283;-11725,27.0,0.0,0
3488;-11942,1.0,0.0,0
3763;-11889,1.0,1.0,1.0
3406;-11846,3.0,0.0,0
3697;-12190,23.0,16.0,31.0
4110;-12149,3.0,0.0,0
3566;-11837,7.0,0.0,0
3404;-11884,1.0,0.0,0
3933;-12014,4.0,3.0,4.0
4199;-12163,6.0,0.0,0
4156;-12405,1.0,1.0,6.0
3312;-11720,6.0,0.0,0
3845;-12183,34.0,0.0,0
3789;-12171,1.0,0.0,0
3501;-11829,2.0,0.0,0
3408;-11771,2.0,0.0,0
3570;-11846,5.0,0.0,0
3389;-11782,3.0,0.0,0
3793;-11917,15.0,9.0,15.0
3747;-12230,14.0,4.0,7.0
3780;-12211,2.0,0.0,0
3512;-11984,7.0,0.0,0
3281;-11691,1.0,0.0,0
4012;-12129,2.0,2.0,2.0
4120;-12133,8.0,0.0,0
3932;-12120,1.0,0.0,0
3738;-11819,2.0,0.0,0
3719;-12174,1.0,0.0,0
3833;-12077,4.0,0.0,0
4157;-12169,1.0,0.0,0
3876;-11980,2.0,2.0,4.0
3415;-11830,3.0,0.0,0
3424;-11925,8.0,0.0,0
3392;-11799,54.0,0.0,0
3735;-12224,1.0,1.0,1.0
3297;-11556,3.0,0.0,0
4000;-12125,2.0,2.0,4.0
3286;-11700,1.0,0.0,0
3954;-12338,15.0,11.0,22.0
3735;-12213,1.0,0.0,0
3839;-12283,1.0,0.0,0
3412;-11836,1.0,0.0,0
3854;-12185,1.0,0.0,0
3419;-11671,34.0,4.0,6.0
3645;-11685,33.0,0.0,0
3793;-12207,5.0,0.0,0
3722;-12174,2.0,0.0,0
3358;-11594,2.0,0.0,0
3563;-11847,4.0,0.0,0
3371;-11724,1.0,0.0,0
3528;-12088,4.0,0.0,0
3826;-12196,1.0,0.0,0
3937;-12120,1.0,0.0,0
3373;-11835,1.0,0.0,0
3392;-11680,1.0,0.0,0
3862;-12150,10.0,0.0,0
3823;-12083,4.0,0.0,0
3687;-11861,1.0,0.0,0
3645;-11889,1.0,0.0,0
3650;-12117,4.0,0.0,0
3812;-12285,1.0,0.0,0
3774;-12241,62.0,1.0,0.0
3830;-12182,2.0,0.0,0
3672;-12129,4.0,0.0,0
3420;-11676,23.0,11.0,32.0
3863;-12111,2.0,0.0,0
3265;-11710,5.0,0.0,0
3912;-12311,4.0,1.0,1.0
3363;-11738,6.0,0.0,0
3301;-11726,1.0,0.0,0
3900;-12168,1.0,0.0,0
4170;-12243,2.0,0.0,0
3863;-12121,9.0,0.0,0
3748;-12239,1.0,1.0,3.0
3707;-12181,3.0,2.0,14.0
3708;-11972,1.0,0.0,0
3714;-11929,1.0,1.0,2.0
3698;-12213,5.0,1.0,2.0
3269;-11634,1.0,0.0,0
3774;-12219,1.0,0.0,0
3373;-11836,1.0,0.0,0
3365;-11763,80.0,0.0,0
3828;-12128,5.0,0.0,0
3733;-12192,5.0,0.0,0
3358;-11712,3.0,0.0,0
3302;-11720,1.0,0.0,0
3773;-12244,120.0,70.0,171.0
3799;-12272,1.0,0.0,0
3784;-12219,37.0,30.0,53.0
3389;-11760,3.0,0.0,0
3888;-12223,2.0,0.0,0
3938;-12099,8.0,4.0,6.0
3937;-12013,13.0,8.0,12.0
3897;-12129,1.0,0.0,0
3424;-11670,2.0,1.0,2.0
4126;-12191,1.0,0.0,0
3904;-12131,4.0,0.0,0
3994;-12090,7.0,0.0,0
3443;-11465,3.0,0.0,0
3875;-12026,9.0,7.0,30.0
3810;-12142,2.0,0.0,0
3788;-12223,1.0,0.0,0
3801;-12298,161.0,0.0,0
3997;-12201,2.0,0.0,0
3698;-12180,14.0,0.0,0
3581;-12135,18.0,14.0,41.0
3415;-11873,19.0,0.0,0
3689;-12183,10.0,0.0,0
3708;-12047,1.0,0.0,0
3466;-12012,1.0,0.0,0
3565;-12037,32.0,0.0,0
3728;-12222,2.0,0.0,0
3760;-12167,7.0,0.0,0
3465;-11937,3.0,2.0,2.0
3265;-11704,4.0,0.0,0
3771;-12220,1.0,0.0,0
3388;-11732,1.0,0.0,0
